ID,corral,date,notes,sample.type,sample.mass.mg,C_12:0,C_13:0,C_14:0,C_15:0,C_16:0,C_17:0,C_18:0,C_20:0,C_22:0,C_24:0,total_SFAs,C_12:1,C_14:1,C_16:1n-7,C_16:1n-9,C_18:1n-7,C_18:1n-9,C_20:1n-9,C_22:1n-9,total_MUFAs,C_18:2n-6,C_18:3n-6,C_20:2n-6,C_20:3n-6,C_20:4n-6,C_22:2n-6,C_22:4n-6,C_22:5n-6,total_N-6_PUFAs,C_18:3n-3,C_18:4n-3,C_20:3n-3,C_20:4n-3,C_20:5n-3,C_22:5n-3,C_22:6n-3,C_24:5n-3,C_24:6n-3,total_N-3_PUFAs,PUFAs,HUFAs,EPA+DHA,N-6/N-3,total_FAs
B1,B,"Aug. 15, 2021",,perch,70.9,0.116,0.041,3.524,0.518,15.42,0.633,3.849,0.181,0.078,0.075,24.436,0.034,0.181,6.36,0.983,3.607,10.515,0.237,0.025,21.942,6.096,0.636,0.195,0.22,5.925,0.04,0.58,1.713,15.405,4.477,2.462,0.182,0.611,10.751,1.073,10.269,0.057,0.42,30.301,45.707,30.713,21.02,0.508,92.09
B2,B,"Aug. 15, 2021",,perch,52.8,0.079,0.036,2.775,0.514,16.193,0.699,4.866,0.204,0.101,0.099,25.566,0.014,0.135,5.474,0.9,4.331,7.479,0.258,0.031,18.622,4.015,0.473,0.21,0.22,9.059,0.059,1.061,2.567,17.665,2.848,1.721,0.222,0.526,9.83,1.507,13.693,0.044,0.304,30.694,48.359,38.158,23.523,0.575,92.55
B3,B,"Aug. 15, 2021",,perch,54.8,0.068,0.031,3.088,0.501,16.477,0.605,4.592,0.165,0.086,0.1,25.712,0.013,0.187,5.67,0.848,3.423,7.497,0.21,0.031,17.879,3.539,0.431,0.198,0.177,8.334,0.065,0.897,2.923,16.563,2.51,1.755,0.168,0.53,10.398,1.12,16.006,0.058,0.348,32.892,49.456,40.022,26.404,0.504,93.05
C1,C,"Aug. 21, 2021",,perch,58.4,0.094,0.034,2.886,0.502,17.319,0.64,4.379,0.166,0.081,0.079,26.179,0.014,0.172,4.513,1,3.415,9.589,0.2,0.029,18.933,3.374,0.368,0.187,0.176,7.787,0.091,0.803,1.865,14.65,2.892,1.981,0.153,0.612,12.008,0.983,12.417,0.071,0.351,31.468,46.118,36.191,24.425,0.466,91.23
C2,C,"Aug. 21, 2021",,perch,60.7,0.09,0.018,1.797,0.393,17.552,0.807,5.684,0.261,0.08,0.097,26.78,0.029,0.1,5.354,0.968,2.468,9.927,0.218,0.028,19.091,5.441,0.593,0.198,0.312,5.562,0.139,0.693,1.621,14.558,5.536,0.946,0.233,0.425,8.718,1.094,12.977,0.095,0.388,30.412,44.969,31.21,21.695,0.479,90.84
C8,C,"Aug. 21, 2021",,perch,62.6,0.048,0.025,2.415,0.481,16.331,0.621,4.784,0.182,0.082,0.11,25.081,0.014,0.161,4.244,0.863,3.308,7.33,0.211,0.028,16.159,3.646,0.397,0.224,0.192,8.276,0.091,0.752,2.91,16.487,2.789,1.406,0.172,0.502,9.859,1.074,17.678,0.066,0.243,33.789,50.276,40.913,27.537,0.488,91.52
D1,D,"Aug. 17, 2021",,perch,56.3,0.077,0.032,3.331,0.506,16.631,0.623,3.663,0.196,0.094,0.076,25.228,0.017,0.215,6.414,1.031,3.699,9.949,0.297,0.032,21.654,3.949,0.423,0.226,0.212,6.766,0.061,0.797,2.686,15.119,3.309,1.469,0.191,0.494,9.391,0.937,14.203,0.042,0.341,30.377,45.497,35.183,23.594,0.498,92.38
D2,D,"Aug. 17, 2021",,perch,66.2,0.034,0.017,1.784,0.403,15.987,0.596,5.464,0.199,0.091,0.104,24.679,0.007,0.079,3.101,0.804,3.415,6.91,0.179,0.045,14.539,3.146,0.337,0.188,0.179,9.802,0.077,1.004,3.101,17.834,2.363,1.323,0.169,0.515,11.402,1.272,18.228,0.058,0.238,35.568,53.402,45.157,29.63,0.501,92.62
D6,D,"Aug. 17, 2021",,perch,55.6,0.105,0.04,3.479,0.579,15.416,0.797,3.806,0.249,0.111,0.072,24.655,0.031,0.211,8.261,1.145,3.698,11.372,0.285,0.029,25.032,5.278,0.624,0.19,0.245,5.649,0.053,0.606,1.781,14.425,5.148,1.547,0.223,0.484,9.229,0.912,9.739,0.035,0.297,27.614,42.039,28.384,18.968,0.522,91.72
E1,E,"Aug. 18, 2021",,perch,56.9,0.061,0.036,3.303,0.51,15.423,0.558,4.322,0.191,0.094,0.136,24.633,0.014,0.18,4.856,0.9,3.3,8.262,0.257,0.036,17.804,4.494,0.081,0.288,0.187,7.119,0.09,0.608,2.784,15.652,3.355,2.143,0.16,0.635,9.867,0.943,15.224,0.054,0.246,32.628,48.28,36.893,25.091,0.48,90.72
E3,E,"Aug. 18, 2021",,perch,60.2,0.063,0.029,3.026,0.514,16.009,0.587,4.085,0.158,0.073,0.088,24.631,0.009,0.198,5.872,0.823,2.961,8.149,0.245,0.031,18.29,3.681,0.438,0.235,0.202,7.516,0.058,0.817,2.427,15.374,2.782,1.743,0.166,0.613,10.379,1.252,15.91,0.064,0.331,33.241,48.616,38.67,26.29,0.463,91.54
E6,E,"Aug. 18, 2021",,perch,53.3,0.174,0.025,2.77,0.385,16.858,0.552,4.202,0.238,0.074,0.053,25.331,0.042,0.184,8.214,0.996,2.484,11.683,0.234,0.03,23.867,5.793,0.742,0.167,0.286,4.92,0.06,0.683,1.294,13.946,6.257,1.377,0.214,0.403,8.326,1.29,9.617,0.044,0.325,27.853,41.799,26.63,17.943,0.501,91
F1,F,"Aug. 20, 2021",,perch,57.9,0.083,0.038,3.298,0.58,16.553,0.638,4.023,0.204,0.103,0.099,25.619,0.018,0.174,5.854,1.116,4.316,9.967,0.225,0.044,21.715,4.982,0.477,0.184,0.215,8.094,0.083,0.764,1.81,16.608,3.34,1.768,0.155,0.475,9.409,0.982,10.291,0.063,0.304,26.786,43.394,31.72,19.7,0.62,90.73
F3,F,"Aug. 20, 2021",,perch,63.3,0.061,0.019,1.816,0.357,16.341,0.646,4.609,0.267,0.109,0.122,24.348,0.02,0.116,6.895,1.104,3.807,13.722,0.286,0.037,25.987,6.926,0.6,0.159,0.355,5.803,0.061,0.609,1.385,15.899,4.732,0.851,0.195,0.359,9.436,1.082,9.868,0.03,0.293,26.845,42.743,28.733,19.304,0.592,93.08
F4,F,"Aug. 20, 2021",,perch,60.5,0.044,0.019,1.987,0.428,16.98,0.605,5.742,0.211,0.102,0.12,26.238,0.012,0.102,3.045,0.79,3.334,7.175,0.213,0.033,14.703,4.064,0.35,0.248,0.203,9.542,0.17,0.965,3.167,18.71,2.297,1.116,0.149,0.424,9.112,1.223,18.091,0.071,0.208,32.691,51.401,42.452,27.202,0.572,92.34
G2,G,"Aug. 23, 2021",,perch,68.2,0.019,0.012,1.762,0.406,17.078,0.659,6.141,0.167,0.092,0.198,26.534,0.003,0.067,2.487,0.842,2.844,6.097,0.162,0.027,12.529,2.392,0.257,0.21,0.195,9.515,0.09,0.965,3.412,17.036,1.384,0.901,0.132,0.527,9.684,1.217,21.448,0.057,0.228,35.578,52.614,46.567,31.132,0.479,91.68
G3,G,"Aug. 23, 2021",,perch,74.7,0.068,0.03,2.809,0.477,15.766,0.614,4.558,0.196,0.108,0.232,24.858,0.016,0.137,5.167,1.093,3.668,10.097,0.304,0.061,20.543,5.453,0.508,0.256,0.234,6.995,0.067,0.717,2.179,16.41,3.467,1.571,0.197,0.591,9.498,1.127,12.171,0.06,0.251,28.934,45.344,33.119,21.669,0.567,90.75
G6,G,"Aug. 23, 2021",,perch,60.1,0.09,0.027,2.391,0.476,16.143,0.743,4.267,0.197,0.088,0.071,24.493,0.022,0.12,5.95,1.057,4.322,10.544,0.276,0.036,22.327,5.618,0.451,0.268,0.319,6.201,0.067,0.804,1.963,15.691,3.741,1.134,0.258,0.491,9.32,1.327,13.019,0.054,0.335,29.678,45.369,33.21,22.339,0.529,92.19
H4,H,"Aug. 24, 2021",,perch,73.6,0.126,0.035,2.564,0.76,17.107,0.802,3.866,0.189,0.074,0.086,25.609,0.023,0.143,6.923,1.042,3.204,9.98,0.31,0.047,21.672,6.826,0.631,0.292,0.293,6.035,0.079,0.767,1.813,16.737,5.967,1.643,0.272,0.491,8.115,1.202,9.184,0.043,0.238,27.156,43.894,27.683,17.299,0.616,91.17
H6,H,"Aug. 24, 2021",,perch,54.7,0.026,0.017,1.73,0.596,16.161,0.829,5.395,0.201,0.083,0.095,25.133,0.007,0.095,2.964,0.898,3.392,6.935,0.193,0.031,14.514,3.705,0.31,0.242,0.187,9.845,0.091,1.275,3.46,19.115,2.406,0.782,0.191,0.463,8.709,1.214,19.374,0.057,0.206,33.401,52.516,44.255,28.083,0.572,92.16
H7,H,"Aug. 24, 2021",,perch,65.2,0.036,0.013,1.258,0.487,17.667,0.759,5.641,0.2,0.077,0.119,26.256,0.01,0.058,3.298,0.889,3.042,7.533,0.182,0.033,15.045,4.677,0.386,0.211,0.238,8.948,0.088,0.934,2.388,17.869,3.314,0.846,0.195,0.356,10.255,1.394,16.353,0.05,0.319,33.083,50.951,40.704,26.608,0.54,92.25
I6,I,"Aug. 20, 2021",,perch,54.6,0.057,0.026,3.015,0.499,16.629,0.615,4.104,0.195,0.086,0.074,25.3,0.014,0.195,5.563,1.055,3.223,9.777,0.241,0.033,20.101,4.526,0.414,0.274,0.211,6.974,0.103,0.748,2.544,15.793,3.474,1.666,0.183,0.526,8.825,1.049,13.866,0.062,0.272,29.923,45.716,34.399,22.691,0.528,91.12
I7,I,"Aug. 20, 2021",,perch,56.2,0.081,0.035,3.231,0.598,16.431,0.663,3.796,0.185,0.083,0.076,25.179,0.016,0.219,5.477,1.133,3.678,9.508,0.215,0.028,20.275,4.053,0.43,0.219,0.205,7.61,0.087,0.842,2.185,15.633,3.461,1.718,0.214,0.619,9.591,1.027,12.368,0.074,0.333,29.404,45.038,34.043,21.959,0.532,90.49
I8,I,"Aug. 20, 2021",,perch,68.6,0.088,0.031,2.159,0.5,16.305,0.744,4.855,0.261,0.096,0.098,25.137,0.031,0.152,5.815,1.047,3.871,10.213,0.222,0.022,21.373,5.66,0.573,0.173,0.255,6.81,0.056,0.809,2.151,16.487,4.245,1.209,0.185,0.397,8.496,1.09,12.184,0.045,0.267,28.118,44.605,31.981,20.68,0.586,91.12
ZP_1,A,"May. 27, 2021",2 hauls,zooplankton,10.8,0.226,0.088,8.627,0.615,12.835,0.617,3.103,0.319,0.249,0.133,26.811,0.037,0.078,2.62,0.75,1.901,4.833,0.251,1.483,11.951,5.336,0.697,0.428,0.17,3.692,0.103,0.148,2.628,13.202,7.339,10.076,0.143,0.884,10.997,0.439,6.858,0.042,0.067,36.845,50.047,25.076,17.855,0.358,88.81
ZP_2,B,"May. 27, 2021",3 hauls,zooplankton,7.1,0.261,0.085,6.74,0.552,14.06,0.535,2.868,0.442,0.333,0.176,26.052,0.028,0.042,2.242,0.732,1.573,6.572,0.52,2.625,14.333,7.123,0.606,0.566,0.201,2.149,0.196,0.177,3.023,14.04,7.346,9.296,0.272,1.063,8.168,0.622,8.585,0.097,0.132,35.582,49.622,23.197,16.754,0.395,90.01
ZP_3,C,"May. 27, 2021",2 hauls,zooplankton,10.4,0.218,0.087,7.671,0.656,13.385,0.576,2.542,0.347,0.264,0.146,25.892,0.036,0.076,2.76,0.94,1.813,5.3,0.245,0.88,12.051,5.598,0.675,0.437,0.169,2.731,0.086,0.154,2.871,12.72,7.922,10.412,0.184,0.849,9.43,0.468,7.82,0.055,0.081,37.219,49.939,23.826,17.249,0.342,87.88
ZP_4,D,"May. 27, 2021",2 hauls,zooplankton,10.3,0.226,0.074,7.254,0.529,13.839,0.502,3.134,0.485,0.385,0.292,26.72,0.029,0.07,2.282,0.565,1.551,6.053,0.394,1.69,12.633,7.557,0.587,0.506,0.184,2.792,0.141,0.163,2.689,14.618,7.843,8.508,0.248,1.065,9.83,0.546,7.622,0.093,0.113,35.868,50.487,24.074,17.451,0.408,89.84
ZP_5,E,"May. 27, 2021",2 haul,zooplankton,9.2,0.23,0.075,8.315,0.537,12.123,0.451,3.184,0.374,0.303,0.172,25.764,0.037,0.083,2.262,0.606,1.58,4.593,0.297,2.789,12.246,5.481,0.683,0.391,0.164,4.12,0.148,0.159,2.556,13.703,7.064,9.594,0.163,0.894,12.302,0.445,6.891,0.083,0.088,37.524,51.226,26.8,19.193,0.365,89.24
ZP_6,F,"May. 27, 2021",2 hauls,zooplankton,9.8,0.205,0.076,7.722,0.53,12.988,0.808,2.979,0.491,0.366,0.255,26.421,0.025,0.044,2.196,0.544,1.648,5.072,0.29,1.004,10.822,5.924,0.715,0.607,0.223,2.32,0.118,0.223,3.855,13.985,7.361,10.474,0.189,0.927,8.562,0.559,10.162,0.076,0.125,38.435,52.42,26.093,18.724,0.364,89.66
ZP_7,G,"May. 27, 2021",2 hauls,zooplankton,9.9,0.204,0.088,8.135,0.576,13.004,0.513,2.771,0.463,0.324,0.14,26.219,0.032,0.049,2.466,0.643,1.655,5.008,0.263,1.139,11.254,5.91,0.73,0.527,0.197,2.67,0.117,0.197,3.449,13.796,7.52,10.694,0.168,0.843,9.162,0.495,8.881,0.073,0.097,37.933,51.729,25.217,18.042,0.364,89.2
ZP_8,H,"May. 27, 2021",2 hauls,zooplankton,10,0.186,0.086,7.997,0.555,13.12,0.541,2.606,0.478,0.345,0.136,26.051,0.027,0.048,2.473,0.612,1.685,4.563,0.249,1.244,10.901,5.464,0.74,0.602,0.2,2.114,0.132,0.22,4.039,13.512,7.633,10.969,0.191,0.774,8.404,0.507,9.925,0.078,0.113,38.594,52.106,25.601,18.329,0.35,89.06
ZP_9,I,"May. 27, 2021",2 hauls,zooplankton,9.2,0.174,0.084,7.969,0.56,13.114,0.585,3.032,0.394,0.279,0.122,26.311,0.031,0.055,2.468,0.703,1.847,4.766,0.185,1.084,11.14,5.326,0.725,0.476,0.169,3.33,0.094,0.158,2.908,13.187,8.175,10.567,0.159,0.772,10.654,0.397,7.655,0.052,0.064,38.494,51.682,25.431,18.308,0.343,89.13
ZP_10,A,"Jul. 6, 2021",,zooplankton,9.5,0.041,0.013,13.172,0.274,16.145,0.131,0.836,0.14,0.184,0.314,31.249,0.01,0.075,25.606,0.126,1.042,2.248,0.046,0.73,29.885,2.654,1.888,0.043,0.16,5.743,0.074,0.034,0.544,11.14,1.405,1.548,0.012,0.228,14.334,0.103,2.575,0.038,0.014,20.257,31.398,23.505,16.909,0.55,92.53
ZP_11,B,"Jul. 6, 2021",,zooplankton,10.3,0.045,0.014,13.925,0.285,15.158,0.098,0.671,0.15,0.21,0.297,30.853,0.005,0.084,27.835,0.123,0.974,1.652,0.042,0.672,31.387,2.721,1.978,0.051,0.181,5.783,0.067,0.025,0.569,11.374,1.105,1.311,0.012,0.223,14.8,0.082,1.778,0.043,0.032,19.387,30.761,23.229,16.578,0.587,93
ZP_12,C,"Jul. 6, 2021",,zooplankton,9.7,0.045,0.028,10.087,0.348,16.054,0.402,1.911,0.201,0.221,0.329,29.626,0.01,0.08,18.178,0.31,2.371,3.826,0.103,0.958,25.837,2.961,1.353,0.105,0.204,5.606,0.159,0.06,0.892,11.34,2.746,2.119,0.035,0.426,13.362,0.167,4.111,0.061,0.055,23.082,34.422,24.437,17.473,0.491,89.88
ZP_13,D,"Jul. 6, 2021",,zooplankton,10.8,0.062,0.027,10.854,0.357,16.09,0.314,1.574,0.169,0.212,0.277,29.936,0.013,0.075,21.124,0.373,2.407,3.168,0.087,1.505,28.752,2.96,1.637,0.088,0.137,6.2,0.111,0.051,0.768,11.952,3.193,2.124,0.057,0.3,12.377,0.158,3.101,0.057,0.043,21.411,33.363,22.85,15.478,0.558,92.05
ZP_14,E,"Jul. 6, 2021",,zooplankton,9.8,0.05,0.023,13.049,0.348,17.602,0.248,1.438,0.164,0.226,0.391,33.541,0.006,0.074,25.035,0.231,1.552,3.217,0.069,0.9,31.084,3.127,1.705,0.071,0.175,5.542,0.095,0.032,0.47,11.216,1.835,1.449,0.016,0.274,9.85,0.088,3.058,0.05,0.045,16.664,27.88,19.23,12.908,0.673,92.5
ZP_15,F,"Jul. 6, 2021",,zooplankton,10.2,0.047,0.023,11.537,0.348,15.476,0.292,1.225,0.158,0.211,0.252,29.567,0.011,0.074,24.196,0.208,1.316,2.383,0.053,0.834,29.074,3.187,2.095,0.081,0.169,6.342,0.077,0.05,0.726,12.728,1.995,1.883,0.034,0.275,13.844,0.122,3.053,0.033,0.031,21.27,33.998,24.341,16.897,0.598,92.64
ZP_16,G,"Jul. 6, 2021",,zooplankton,10.7,0.027,0.012,10.24,0.258,14.963,0.173,0.987,0.184,0.277,0.438,27.558,0.005,0.05,22.682,0.127,1.174,2.308,0.051,1.196,27.593,3.015,1.902,0.069,0.181,7.235,0.099,0.04,0.463,13.004,1.547,1.655,0.018,0.309,17.356,0.12,3.308,0.037,0.035,24.386,37.39,28.721,20.664,0.533,92.54
ZP_17,H,"Jul. 6, 2021",,zooplankton,6,0.061,0.038,5.18,0.789,16.381,1.809,3.521,0.181,0.231,0.267,28.457,0.011,0.051,8.513,0.752,2.675,7.695,0.19,3.549,23.436,3.403,0.699,0.151,0.154,6.484,0.156,0.094,1.485,12.626,5.756,2.331,0.064,0.36,10.961,0.256,5.925,0.04,0.059,25.753,38.378,25.423,16.887,0.49,90.27
ZP_18,I,"Jul. 6, 2021",,zooplankton,10.5,0.081,0.064,5.256,0.657,17.24,1.136,3.857,0.195,0.261,0.167,28.916,0.022,0.049,4.2,0.786,3.689,6.795,0.202,2.968,18.711,5.133,0.596,0.318,0.225,5.057,0.125,0.134,2.199,13.787,6.992,4.058,0.092,0.601,8.749,0.292,7.946,0.022,0.098,28.85,42.637,24.695,16.696,0.478,90.26
ZP_19,A,"Aug. 9, 2021",,zooplankton,9.3,0.144,0.049,13.565,0.434,12.819,0.451,2.579,0.185,0.193,0.208,30.627,0.027,0.143,8.084,0.494,1.636,4.944,0.228,3.674,19.229,4.574,1.092,0.135,0.32,4.62,0.132,0.313,2.923,14.11,3.499,6.387,0.051,0.988,8.665,0.343,3.718,0.039,0.142,23.832,37.941,20.954,12.382,0.592,87.8
ZP_20,B,"Aug. 9, 2021",,zooplankton,9.6,0.081,0.029,12.398,0.28,14.915,0.191,1.631,0.189,0.262,0.32,30.297,0.01,0.078,18.781,0.145,1.202,3.783,0.117,1.706,25.82,2.386,1.407,0.063,0.179,5.871,0.095,0.1,1.1,11.202,1.953,3.331,0.038,0.467,14.146,0.213,3.75,0.025,0.044,23.967,35.169,25.397,17.896,0.467,91.29
ZP_21,C,"Aug. 9, 2021",,zooplankton,10.3,0.144,0.07,7.425,0.437,16.209,0.74,3.544,0.245,0.205,0.13,29.149,0.024,0.092,2.957,0.546,2.122,6.815,0.291,3.31,16.158,4.3,0.725,0.239,0.341,3.364,0.109,0.384,3.242,12.703,6.89,7.1,0.198,1.165,6.854,0.454,9.494,0.01,0.136,32.3,45.003,24.33,16.348,0.393,90.31
ZP_22,D,"Aug. 9, 2021",,zooplankton,9.9,0.114,0.068,9.447,0.484,15.712,0.527,3.315,0.235,0.242,0.146,30.289,0.027,0.093,4.882,0.567,2.5,5.08,0.156,1.348,14.653,6.664,0.916,0.283,0.249,5.572,0.076,0.276,3.731,17.766,5.366,7.702,0.098,0.463,7.179,0.288,5.96,0.009,0.088,27.153,44.919,23.353,13.139,0.654,89.86
ZP_23,E,"Aug. 9, 2021",,zooplankton,9.3,0.12,0.059,6.516,0.557,18.114,0.831,4.506,0.296,0.258,0.144,31.401,0.025,0.046,3.607,0.758,2.502,7.174,0.262,2.992,17.365,3.556,0.609,0.296,0.243,3.961,0.116,0.173,2.717,11.672,3.71,5.008,0.095,0.619,7.311,0.311,10.659,0.013,0.054,27.782,39.453,25.471,17.97,0.42,88.22
ZP_24,F,"Aug. 9, 2021",,zooplankton,9.6,0.125,0.067,8.611,0.564,14.811,0.682,3.308,0.207,0.237,0.175,28.787,0.02,0.097,4.579,0.436,1.945,4.724,0.27,3.084,15.155,5.898,0.912,0.263,0.283,5.009,0.098,0.315,4.381,17.159,5.063,8.93,0.133,0.782,6.514,0.457,7.303,0.008,0.122,29.313,46.472,24.396,13.817,0.585,90.41
ZP_25,G,"Aug. 9, 2021",,zooplankton,9.7,0.06,0.046,6.363,0.408,14.052,0.479,4.225,0.379,0.402,0.195,26.61,0.016,0.051,3.125,0.46,2.192,5.467,0.206,1.037,12.555,6.56,0.829,0.411,0.327,6.055,0.066,0.344,4.84,19.431,5.536,7.336,0.122,0.597,8.416,0.377,10.272,0.009,0.159,32.825,52.256,30.753,18.688,0.592,91.42
ZP_26,H,"Aug. 9, 2021",,zooplankton,4.7,0.165,0.115,3.167,1.079,16.042,1.459,3.577,0.738,0.38,0.282,27.004,0.033,0.033,2.334,0.868,2.556,6.96,0.643,2.999,16.424,7.275,0.278,0.521,0.305,4.666,0.114,0.351,2.771,16.281,8.38,4.663,0.363,0.76,5.638,0.502,9.826,0.024,0.132,30.287,46.568,24.422,15.464,0.538,90
ZP_27,I,"Aug. 9, 2021",,zooplankton,10.3,0.112,0.085,5.448,0.75,16.269,0.98,3.125,0.25,0.225,0.159,27.403,0.026,0.106,3.631,0.734,2.55,5.423,0.344,4.917,17.732,5.095,0.917,0.225,0.172,4.889,0.112,0.145,1.874,13.429,12.158,4.775,0.233,0.552,6.876,0.278,5.234,0.02,0.092,30.219,43.648,19.701,12.11,0.444,88.78
FF_1-1,NA,NA,,fish food,62.6,0.087,0.048,2.649,0.716,21.764,1.461,3.879,0.224,0.218,0.031,31.077,0.027,0.011,2.67,0.232,1.927,13.382,0.64,0.036,18.926,4.579,0.189,0.489,0.15,4.001,0.095,0.15,2.21,11.864,3.892,1.256,0.36,0.307,9.697,0.202,15.693,0.219,0.037,31.663,43.526,32.463,25.39,0.375,93.528
FF_1-2,NA,NA,,fish food,66.6,0.087,0.047,2.653,0.722,21.744,1.431,4.021,0.203,0.212,0.028,31.149,0.026,0.01,2.731,0.203,1.987,13.834,0.706,0.039,19.537,4.573,0.166,0.476,0.153,3.845,0.044,0.147,2.129,11.533,3.828,1.207,0.354,0.297,9.638,0.211,15.177,0.209,0.032,30.953,42.486,31.653,24.815,0.373,93.171
FF_1-3,NA,NA,,fish food,55.2,0.09,0.053,2.854,0.734,22.274,1.443,3.892,0.194,0.207,0.025,31.769,0.027,0.127,2.726,0.218,1.861,13.551,0.661,0.029,19.198,4.57,0.145,0.47,0.15,3.731,0.055,0.137,2.169,11.427,3.944,1.232,0.323,0.295,9.311,0.233,15.716,0.236,0.041,31.332,42.759,31.77,25.027,0.365,93.726
FF_2-1,NA,NA,,fish food,65.5,0.088,0.05,2.61,0.697,21.617,1.415,4.065,0.23,0.205,0.026,31.002,0.025,0.133,2.593,0.219,1.947,13.484,0.697,0.026,19.123,4.526,0.158,0.503,0.148,3.95,0.041,0.135,2.137,11.599,3.9,1.245,0.343,0.304,10.046,0.185,15.893,0.192,0.04,32.149,43.748,32.839,25.94,0.361,93.874
FF_2-2,NA,NA,,fish food,55.8,0.08,0.048,2.648,0.734,22.119,1.421,3.925,0.193,0.185,0.022,31.376,0.028,0.134,2.819,0.231,1.918,13.712,0.601,0.027,19.471,4.78,0.183,0.461,0.148,3.735,0.055,0.139,2.149,11.649,4.137,1.302,0.367,0.323,9.705,0.204,15.429,0.181,0.034,31.683,43.332,31.876,25.134,0.368,94.178
FF_2-3,NA,NA,,fish food,55.5,0.073,0.044,2.402,0.701,21.538,1.461,4.072,0.206,0.192,0.031,30.719,0.025,0.158,2.596,0.217,1.977,13.498,0.668,0.047,19.187,4.561,0.174,0.481,0.149,4.015,0.053,0.145,2.189,11.768,3.978,1.241,0.364,0.31,10.195,0.202,15.582,0.177,0.035,32.085,43.853,32.841,25.777,0.367,93.759
FF_3-1,NA,NA,,fish food,64,0.08,0.05,2.557,0.719,22.225,1.473,3.987,0.211,0.192,0.026,31.519,0.027,0.162,2.597,0.229,1.872,13.672,0.685,0.042,19.286,4.656,0.169,0.498,0.143,3.785,0.051,0.139,2.178,11.619,3.944,1.186,0.337,0.292,9.576,0.202,15.806,0.191,0.041,31.575,43.194,32.165,25.382,0.368,94
FF_3-2,NA,NA,,fish food,56.1,0.085,0.05,2.737,0.749,22.498,1.449,3.935,0.195,0.189,0.026,31.912,0.027,0.135,2.701,0.237,1.862,13.627,0.634,0.028,19.251,4.575,0.157,0.462,0.142,3.876,0.043,0.137,2.159,11.551,3.96,1.229,0.351,0.302,9.555,0.21,15.186,0.177,0.032,31.003,42.555,31.617,24.742,0.373,93.717
FF_3-3,NA,NA,,fish food,61.7,0.095,0.054,2.71,0.747,22.288,1.456,3.921,0.19,0.19,0.025,31.677,0.03,0.156,2.597,0.234,1.862,13.582,0.611,0.024,19.096,4.625,0.161,0.464,0.145,3.821,0.051,0.139,2.189,11.595,3.901,1.158,0.348,0.294,9.578,0.224,15.749,0.215,0.033,31.5,43.095,32.193,25.327,0.368,93.867
